FID,Shape *,id,count,time,date,id_1,x,y
0,Point,2549,1,42005,2015-01-01,2549,450207,4625209
1,Point,2550,1,42006,2015-01-02,2550,450456,4625091
2,Point,2551,1,42006,2015-01-02,2551,448732,4622827
3,Point,2552,1,42006,2015-01-02,2552,449362,4623434
4,Point,2553,1,42006,2015-01-02,2553,449609,4629126
5,Point,2554,1,42006,2015-01-02,2554,445670,4632261
6,Point,2555,1,42006,2015-01-02,2555,451260,4623910
7,Point,2556,1,42006,2015-01-02,2556,453813,4622285
8,Point,2557,1,42006,2015-01-02,2557,452514,4622472
9,Point,2558,1,42006,2015-01-02,2558,451626,4623353
10,Point,2559,1,42007,2015-01-03,2559,448471,4625949
11,Point,2560,1,42008,2015-01-04,2560,451556,4622544
12,Point,2561,1,42009,2015-01-05,2561,453252,4622561
13,Point,2562,1,42009,2015-01-05,2562,452921,4622275
14,Point,2563,1,42010,2015-01-06,2563,447293,4630984
15,Point,2564,1,42010,2015-01-06,2564,452917,4622849
16,Point,2565,1,42010,2015-01-06,2565,451806,4622237
17,Point,2566,1,42010,2015-01-06,2566,451112,4627314
18,Point,2567,1,42011,2015-01-07,2567,451393,4623686
19,Point,2568,1,42012,2015-01-08,2568,448954,4624054
20,Point,2569,1,42013,2015-01-09,2569,445447,4631674
21,Point,2570,1,42013,2015-01-09,2570,447468,4633682
22,Point,2571,1,42013,2015-01-09,2571,449621,4622126
23,Point,2572,1,42013,2015-01-09,2572,448954,4624054
24,Point,2573,1,42013,2015-01-09,2573,450202,4625106
25,Point,2574,1,42013,2015-01-09,2574,454200,4622469
26,Point,2575,1,42014,2015-01-10,2575,451415,4624565
27,Point,2576,1,42014,2015-01-10,2576,447889,4630839
28,Point,2577,1,42014,2015-01-10,2577,453123,4622308
29,Point,2578,1,42014,2015-01-10,2578,453019,4622685
30,Point,2579,1,42015,2015-01-11,2579,448243,4624594
31,Point,2580,1,42015,2015-01-11,2580,446828,4632699
32,Point,2581,1,42015,2015-01-11,2581,451203,4624160
33,Point,2582,1,42015,2015-01-11,2582,453447,4622301
34,Point,2583,1,42015,2015-01-11,2583,453022,4622267
35,Point,2584,1,42016,2015-01-12,2584,452514,4622503
36,Point,2585,1,42016,2015-01-12,2585,451573,4625354
37,Point,2586,1,42016,2015-01-12,2586,452422,4624372
38,Point,2587,1,42016,2015-01-12,2587,449673,4622874
39,Point,2588,1,42016,2015-01-12,2588,451623,4622949
40,Point,2589,1,42016,2015-01-12,2589,453323,4622468
41,Point,2590,1,42016,2015-01-12,2590,448460,4623251
42,Point,2591,1,42016,2015-01-12,2591,448457,4623626
43,Point,2592,1,42016,2015-01-12,2592,448695,4630996
44,Point,2593,1,42017,2015-01-13,2593,450096,4625567
45,Point,2594,1,42017,2015-01-13,2594,452290,4624463
46,Point,2595,1,42017,2015-01-13,2595,450871,4624024
47,Point,2596,1,42018,2015-01-14,2596,448461,4623230
48,Point,2597,1,42018,2015-01-14,2597,451050,4624158
49,Point,2598,1,42018,2015-01-14,2598,451129,4624029
50,Point,2599,1,42018,2015-01-14,2599,448975,4630833
51,Point,2600,1,42018,2015-01-14,2600,448152,4626483
52,Point,2601,1,42018,2015-01-14,2601,452110,4622279
53,Point,2602,1,42018,2015-01-14,2602,450456,4625095
54,Point,2603,1,42018,2015-01-14,2603,449778,4625515
55,Point,2604,1,42018,2015-01-14,2604,453347,4623361
56,Point,2605,1,42018,2015-01-14,2605,452760,4622153
57,Point,2606,1,42018,2015-01-14,2606,453793,4622532
58,Point,2607,1,42019,2015-01-15,2607,452391,4624513
59,Point,2608,1,42019,2015-01-15,2608,451639,4623253
60,Point,2609,1,42019,2015-01-15,2609,452037,4623256
61,Point,2610,1,42019,2015-01-15,2610,445649,4632212
62,Point,2611,1,42019,2015-01-15,2611,452770,4624098
63,Point,2612,1,42019,2015-01-15,2612,448350,4632573
64,Point,2613,1,42019,2015-01-15,2613,448918,4624541
65,Point,2614,1,42019,2015-01-15,2614,453935,4622253
66,Point,2615,1,42019,2015-01-15,2615,453569,4622309
67,Point,2616,1,42020,2015-01-16,2616,450202,4625108
68,Point,2617,1,42021,2015-01-17,2617,453019,4622658
69,Point,2618,1,42021,2015-01-17,2618,452106,4622689
70,Point,2619,1,42021,2015-01-17,2619,448268,4628087
71,Point,2620,1,42022,2015-01-18,2620,453019,4622666
72,Point,2621,1,42022,2015-01-18,2621,447232,4628559
73,Point,2622,1,42022,2015-01-18,2622,447352,4633757
74,Point,2623,1,42022,2015-01-18,2623,453347,4623361
75,Point,2624,1,42022,2015-01-18,2624,448687,4622111
76,Point,2625,1,42023,2015-01-19,2625,451682,4624088
77,Point,2626,1,42023,2015-01-19,2626,453443,4622704
78,Point,2627,1,42023,2015-01-19,2627,448287,4626491
79,Point,2628,1,42023,2015-01-19,2628,448358,4623926
80,Point,2629,1,42024,2015-01-20,2629,448378,4622915
81,Point,2630,1,42024,2015-01-20,2630,449673,4622874
82,Point,2631,1,42024,2015-01-20,2631,452667,4623775
83,Point,2632,1,42024,2015-01-20,2632,448547,4627287
84,Point,2633,1,42024,2015-01-20,2633,448409,4627632
85,Point,2634,1,42025,2015-01-21,2634,448273,4627681
86,Point,2635,1,42025,2015-01-21,2635,448512,4622109
87,Point,2636,1,42025,2015-01-21,2636,448182,4624244
88,Point,2637,1,42025,2015-01-21,2637,453180,4622359
89,Point,2638,1,42025,2015-01-21,2638,453973,4622167
90,Point,2639,1,42025,2015-01-21,2639,453323,4622466
91,Point,2640,1,42025,2015-01-21,2640,449610,4622126
92,Point,2641,1,42025,2015-01-21,2641,451907,4622264
93,Point,2642,1,42026,2015-01-22,2642,448187,4623864
94,Point,2643,1,42026,2015-01-22,2643,453330,4623475
95,Point,2644,1,42026,2015-01-22,2644,451185,4624160
96,Point,2645,1,42026,2015-01-22,2645,453118,4622860
97,Point,2646,1,42026,2015-01-22,2646,448182,4624223
98,Point,2647,1,42026,2015-01-22,2647,452812,4623306
99,Point,2648,1,42026,2015-01-22,2648,449911,4625690
100,Point,2649,1,42026,2015-01-22,2649,448187,4623848
101,Point,2650,1,42026,2015-01-22,2650,448287,4626497
102,Point,2651,1,42027,2015-01-23,2651,452634,4624099
103,Point,2652,1,42027,2015-01-23,2652,452911,4623457
104,Point,2653,1,42027,2015-01-23,2653,451126,4624252
105,Point,2654,1,42027,2015-01-23,2654,445241,4631672
106,Point,2655,1,42027,2015-01-23,2655,447452,4633730
107,Point,2656,1,42027,2015-01-23,2656,447311,4633538
108,Point,2657,1,42027,2015-01-23,2657,448320,4623867
109,Point,2658,1,42027,2015-01-23,2658,451620,4624163
110,Point,2659,1,42028,2015-01-24,2659,451375,4624303
111,Point,2660,1,42028,2015-01-24,2660,452920,4622487
112,Point,2661,1,42029,2015-01-25,2661,451477,4624309
113,Point,2662,1,42029,2015-01-25,2662,451842,4623667
114,Point,2663,1,42030,2015-01-26,2663,450156,4624694
115,Point,2664,1,42030,2015-01-26,2664,450181,4622634
116,Point,2665,1,42030,2015-01-26,2665,454200,4622469
117,Point,2666,1,42030,2015-01-26,2666,449794,4625568
118,Point,2667,1,42031,2015-01-27,2667,451588,4623488
119,Point,2668,1,42031,2015-01-27,2668,448840,4625210
120,Point,2669,1,42031,2015-01-27,2669,451100,4626586
121,Point,2670,1,42031,2015-01-27,2670,448350,4632573
122,Point,2671,1,42032,2015-01-28,2671,452498,4624102
123,Point,2672,1,42032,2015-01-28,2672,449039,4625864
124,Point,2673,1,42032,2015-01-28,2673,452391,4624521
125,Point,2674,1,42032,2015-01-28,2674,450986,4623654
126,Point,2675,1,42032,2015-01-28,2675,447053,4622643
127,Point,2676,1,42032,2015-01-28,2676,446543,4631705
128,Point,2677,1,42032,2015-01-28,2677,447653,4623460
129,Point,2678,1,42032,2015-01-28,2678,449266,4623059
130,Point,2679,1,42033,2015-01-29,2679,453184,4623031
131,Point,2680,1,42033,2015-01-29,2680,448290,4626284
132,Point,2681,1,42033,2015-01-29,2681,454254,4622400
133,Point,2682,1,42033,2015-01-29,2682,447778,4630845
134,Point,2683,1,42033,2015-01-29,2683,449621,4622126
135,Point,2684,1,42034,2015-01-30,2684,448525,4629112
136,Point,2685,1,42034,2015-01-30,2685,448208,4626350
137,Point,2686,1,42034,2015-01-30,2686,451183,4624059
138,Point,2687,1,42034,2015-01-30,2687,448556,4626481
139,Point,2688,1,42034,2015-01-30,2688,451803,4622472
140,Point,2689,1,42035,2015-01-31,2689,452713,4624171
141,Point,2690,1,42035,2015-01-31,2690,448415,4627036
142,Point,2691,1,42035,2015-01-31,2691,452658,4623756
143,Point,2692,1,42035,2015-01-31,2692,451600,4626903
144,Point,2693,1,42035,2015-01-31,2693,452307,4622890
145,Point,2694,1,42036,2015-02-01,2694,449039,4625866
146,Point,2695,1,42037,2015-02-02,2695,447369,4627450
147,Point,2696,1,42037,2015-02-02,2696,451270,4624539
148,Point,2697,1,42037,2015-02-02,2697,448564,4625852
149,Point,2698,1,42038,2015-02-03,2698,451058,4627552
150,Point,2699,1,42039,2015-02-04,2699,449142,4624899
151,Point,2700,1,42039,2015-02-04,2700,453691,4622273
152,Point,2701,1,42039,2015-02-04,2701,446487,4632799
153,Point,2702,1,42040,2015-02-05,2702,450091,4625567
154,Point,2703,1,42040,2015-02-05,2703,453092,4623163
155,Point,2704,1,42040,2015-02-05,2704,448997,4629330
156,Point,2705,1,42040,2015-02-05,2705,448747,4630892
157,Point,2706,1,42040,2015-02-05,2706,448766,4629720
158,Point,2707,1,42041,2015-02-06,2707,451553,4624083
159,Point,2708,1,42041,2015-02-06,2708,449756,4627384
160,Point,2709,1,42041,2015-02-06,2709,450346,4627793
161,Point,2710,1,42041,2015-02-06,2710,452767,4624270
162,Point,2711,1,42042,2015-02-07,2711,450442,4625185
163,Point,2712,1,42042,2015-02-07,2712,450947,4623956
164,Point,2713,1,42043,2015-02-08,2713,445465,4632098
165,Point,2714,1,42043,2015-02-08,2714,448250,4623722
166,Point,2715,1,42043,2015-02-08,2715,453716,4623085
167,Point,2716,1,42043,2015-02-08,2716,448287,4626497
168,Point,2717,1,42044,2015-02-09,2717,452812,4623306
169,Point,2718,1,42044,2015-02-09,2718,451084,4623203
170,Point,2719,1,42044,2015-02-09,2719,449717,4627691
171,Point,2720,1,42044,2015-02-09,2720,448182,4624260
172,Point,2721,1,42044,2015-02-09,2721,451358,4627224
173,Point,2722,1,42045,2015-02-10,2722,448321,4623830
174,Point,2723,1,42045,2015-02-10,2723,447769,4623616
175,Point,2724,1,42045,2015-02-10,2724,446436,4632139
176,Point,2725,1,42046,2015-02-11,2725,450270,4623655
177,Point,2726,1,42046,2015-02-11,2726,449204,4628922
178,Point,2727,1,42046,2015-02-11,2727,452102,4623089
179,Point,2728,1,42046,2015-02-11,2728,453079,4623596
180,Point,2729,1,42046,2015-02-11,2729,450453,4625335
181,Point,2730,1,42046,2015-02-11,2730,453219,4622861
182,Point,2731,1,42046,2015-02-11,2731,449450,4624494
183,Point,2732,1,42047,2015-02-12,2732,450207,4625299
184,Point,2733,1,42047,2015-02-12,2733,451685,4623906
185,Point,2734,1,42047,2015-02-12,2734,449115,4623131
186,Point,2735,1,42048,2015-02-13,2735,448313,4624433
187,Point,2736,1,42048,2015-02-13,2736,452295,4624059
188,Point,2737,1,42049,2015-02-14,2737,448311,4627768
189,Point,2738,1,42049,2015-02-14,2738,450871,4624024
190,Point,2739,1,42049,2015-02-14,2739,446467,4632890
191,Point,2740,1,42049,2015-02-14,2740,449794,4625568
192,Point,2741,1,42049,2015-02-14,2741,448189,4623635
193,Point,2742,1,42050,2015-02-15,2742,449708,4624756
194,Point,2743,1,42050,2015-02-15,2743,451586,4623680
195,Point,2744,1,42051,2015-02-16,2744,450001,4625103
196,Point,2745,1,42051,2015-02-16,2745,448461,4623230
197,Point,2746,1,42051,2015-02-16,2746,447311,4633538
198,Point,2747,1,42051,2015-02-16,2747,448538,4628111
199,Point,2748,1,42052,2015-02-17,2748,449827,4627356
200,Point,2749,1,42052,2015-02-17,2749,452913,4623288
201,Point,2750,1,42052,2015-02-17,2750,452913,4623284
202,Point,2751,1,42052,2015-02-17,2751,447551,4623407
203,Point,2752,1,42054,2015-02-19,2752,448054,4623800
204,Point,2753,1,42054,2015-02-19,2753,448940,4625875
205,Point,2754,1,42054,2015-02-19,2754,448250,4623722
206,Point,2755,1,42055,2015-02-20,2755,449649,4624907
207,Point,2756,1,42055,2015-02-20,2756,452702,4624171
208,Point,2757,1,42055,2015-02-20,2757,452853,4623161
209,Point,2758,1,42056,2015-02-21,2758,451996,4623459
210,Point,2759,1,42056,2015-02-21,2759,449766,4627384
211,Point,2760,1,42056,2015-02-21,2760,453603,4623241
212,Point,2761,1,42057,2015-02-22,2761,450692,4628713
213,Point,2762,1,42057,2015-02-22,2762,449916,4622939
214,Point,2763,1,42058,2015-02-23,2763,446028,4632035
215,Point,2764,1,42058,2015-02-23,2764,452707,4623866
216,Point,2765,1,42058,2015-02-23,2765,453344,4623365
217,Point,2766,1,42058,2015-02-23,2766,446940,4632498
218,Point,2767,1,42058,2015-02-23,2767,448469,4622251
219,Point,2768,1,42058,2015-02-23,2768,452307,4622890
220,Point,2769,1,42059,2015-02-24,2769,449766,4627384
221,Point,2770,1,42059,2015-02-24,2770,449766,4627384
222,Point,2771,1,42059,2015-02-24,2771,449094,4628689
223,Point,2772,1,42059,2015-02-24,2772,451596,4622839
224,Point,2773,1,42060,2015-02-25,2773,449131,4629395
225,Point,2774,1,42060,2015-02-25,2774,452702,4624171
226,Point,2775,1,42061,2015-02-26,2775,448956,4623873
227,Point,2776,1,42062,2015-02-27,2776,449651,4624689
228,Point,2777,1,42062,2015-02-27,2777,445853,4631679
229,Point,2778,1,42062,2015-02-27,2778,448141,4624690
230,Point,2779,1,42062,2015-02-27,2779,445853,4631679
231,Point,2780,1,42062,2015-02-27,2780,451844,4623470
232,Point,2781,1,42062,2015-02-27,2781,451127,4624197
233,Point,2782,1,42063,2015-02-28,2782,453324,4622279
234,Point,2783,1,42064,2015-03-01,2783,450815,4624915
235,Point,2784,1,42064,2015-03-01,2784,450716,4625084
236,Point,2785,1,42065,2015-03-02,2785,449264,4623281
237,Point,2786,1,42065,2015-03-02,2786,451486,4623490
238,Point,2787,1,42065,2015-03-02,2787,450946,4625744
239,Point,2788,1,42065,2015-03-02,2788,450001,4625079
240,Point,2789,1,42065,2015-03-02,2789,448246,4630919
241,Point,2790,1,42066,2015-03-03,2790,449826,4627445
242,Point,2791,1,42066,2015-03-03,2791,446962,4630240
243,Point,2792,1,42067,2015-03-04,2792,448452,4623849
244,Point,2793,1,42067,2015-03-04,2793,448942,4625070
245,Point,2794,1,42068,2015-03-05,2794,450830,4627903
246,Point,2795,1,42068,2015-03-05,2795,448842,4625059
247,Point,2796,1,42068,2015-03-05,2796,451710,4623556
248,Point,2797,1,42068,2015-03-05,2797,451849,4623045
249,Point,2798,1,42069,2015-03-06,2798,451501,4622285
250,Point,2799,1,42069,2015-03-06,2799,448717,4624237
251,Point,2800,1,42069,2015-03-06,2800,449324,4622729
252,Point,2801,1,42069,2015-03-06,2801,447243,4632366
253,Point,2802,1,42069,2015-03-06,2802,451907,4622252
254,Point,2803,1,42069,2015-03-06,2803,449826,4627445
255,Point,2804,1,42070,2015-03-07,2804,448856,4623874
256,Point,2805,1,42070,2015-03-07,2805,450989,4622672
257,Point,2806,1,42070,2015-03-07,2806,448251,4632190
258,Point,2807,1,42071,2015-03-08,2807,452206,4623043
259,Point,2808,1,42071,2015-03-08,2808,448054,4623800
260,Point,2809,1,42071,2015-03-08,2809,445129,4631746
261,Point,2810,1,42072,2015-03-09,2810,448779,4622720
262,Point,2811,1,42072,2015-03-09,2811,448285,4626705
263,Point,2812,1,42072,2015-03-09,2812,453171,4622157
264,Point,2813,1,42072,2015-03-09,2813,453019,4622687
265,Point,2814,1,42072,2015-03-09,2814,447253,4622844
266,Point,2815,1,42073,2015-03-10,2815,450174,4627397
267,Point,2816,1,42073,2015-03-10,2816,448107,4630549
268,Point,2817,1,42073,2015-03-10,2817,448285,4626701
269,Point,2818,1,42073,2015-03-10,2818,453120,4622711
270,Point,2819,1,42073,2015-03-10,2819,445668,4632266
271,Point,2820,1,42074,2015-03-11,2820,453862,4622972
272,Point,2821,1,42074,2015-03-11,2821,452391,4624505
273,Point,2822,1,42075,2015-03-12,2822,453921,4622340
274,Point,2823,1,42075,2015-03-12,2823,453019,4622687
275,Point,2824,1,42075,2015-03-12,2824,449853,4624684
276,Point,2825,1,42076,2015-03-13,2825,450432,4627396
277,Point,2826,1,42076,2015-03-13,2826,447522,4623105
278,Point,2827,1,42076,2015-03-13,2827,447452,4633730
279,Point,2828,1,42076,2015-03-13,2828,450716,4625092
280,Point,2829,1,42076,2015-03-13,2829,449340,4630881
281,Point,2830,1,42076,2015-03-13,2830,448841,4625085
282,Point,2831,1,42076,2015-03-13,2831,448243,4624594
283,Point,2832,1,42077,2015-03-14,2832,448840,4625218
284,Point,2833,1,42077,2015-03-14,2833,450460,4624679
285,Point,2834,1,42077,2015-03-14,2834,448837,4625496
286,Point,2835,1,42078,2015-03-15,2835,447539,4633076
287,Point,2836,1,42078,2015-03-15,2836,446916,4631588
288,Point,2837,1,42078,2015-03-15,2837,449414,4622933
289,Point,2838,1,42078,2015-03-15,2838,448583,4624241
290,Point,2839,1,42078,2015-03-15,2839,447500,4627278
291,Point,2840,1,42078,2015-03-15,2840,449401,4629539
292,Point,2841,1,42078,2015-03-15,2841,450373,4623481
293,Point,2842,1,42079,2015-03-16,2842,448722,4623800
294,Point,2843,1,42079,2015-03-16,2843,450315,4625677
295,Point,2844,1,42079,2015-03-16,2844,450217,4629089
296,Point,2845,1,42079,2015-03-16,2845,450217,4629089
297,Point,2846,1,42079,2015-03-16,2846,450938,4623350
298,Point,2847,1,42079,2015-03-16,2847,451606,4623960
299,Point,2848,1,42079,2015-03-16,2848,454200,4622469
300,Point,2849,1,42079,2015-03-16,2849,448940,4629691
301,Point,2850,1,42079,2015-03-16,2850,449708,4625160
302,Point,2851,1,42079,2015-03-16,2851,449621,4622126
303,Point,2852,1,42080,2015-03-17,2852,453442,4622848
304,Point,2853,1,42080,2015-03-17,2853,446455,4630272
305,Point,2854,1,42080,2015-03-17,2854,447657,4622796
306,Point,2855,1,42081,2015-03-18,2855,451621,4627413
307,Point,2856,1,42081,2015-03-18,2856,447552,4633671
308,Point,2857,1,42081,2015-03-18,2857,452196,4623840
309,Point,2858,1,42081,2015-03-18,2858,453222,4622471
310,Point,2859,1,42081,2015-03-18,2859,449882,4622454
311,Point,2860,1,42081,2015-03-18,2860,449252,4630396
312,Point,2861,1,42082,2015-03-19,2861,451742,4623516
313,Point,2862,1,42082,2015-03-19,2862,451434,4622543
314,Point,2863,1,42082,2015-03-19,2863,453451,4623210
315,Point,2864,1,42082,2015-03-19,2864,447084,4630374
316,Point,2865,1,42082,2015-03-19,2865,449695,4629987
317,Point,2866,1,42083,2015-03-20,2866,450301,4627726
318,Point,2867,1,42083,2015-03-20,2867,453170,4622761
319,Point,2868,1,42083,2015-03-20,2868,450959,4626278
320,Point,2869,1,42083,2015-03-20,2869,452819,4622484
321,Point,2870,1,42084,2015-03-21,2870,447444,4623973
322,Point,2871,1,42084,2015-03-21,2871,447253,4622844
323,Point,2872,1,42085,2015-03-22,2872,448689,4626700
324,Point,2873,1,42085,2015-03-22,2873,453219,4622911
325,Point,2874,1,42085,2015-03-22,2874,448835,4625686
326,Point,2875,1,42085,2015-03-22,2875,451891,4623799
327,Point,2876,1,42085,2015-03-22,2876,449238,4625485
328,Point,2877,1,42086,2015-03-23,2877,452502,4623842
329,Point,2878,1,42086,2015-03-23,2878,447258,4622483
330,Point,2879,1,42086,2015-03-23,2879,453465,4623428
331,Point,2880,1,42087,2015-03-24,2880,447430,4633841
332,Point,2881,1,42087,2015-03-24,2881,449786,4625261
333,Point,2882,1,42087,2015-03-24,2882,449786,4625261
334,Point,2883,1,42087,2015-03-24,2883,453342,4623367
335,Point,2884,1,42087,2015-03-24,2884,447319,4622495
336,Point,2885,1,42087,2015-03-24,2885,447825,4632447
337,Point,2886,1,42087,2015-03-24,2886,452391,4624484
338,Point,2887,1,42087,2015-03-24,2887,445514,4630966
339,Point,2888,1,42088,2015-03-25,2888,450747,4627796
340,Point,2889,1,42088,2015-03-25,2889,450587,4624860
341,Point,2890,1,42088,2015-03-25,2890,445736,4631441
342,Point,2891,1,42088,2015-03-25,2891,452632,4624246
343,Point,2892,1,42088,2015-03-25,2892,453324,4622285
344,Point,2893,1,42088,2015-03-25,2893,452394,4624267
345,Point,2894,1,42089,2015-03-26,2894,449240,4625281
346,Point,2895,1,42089,2015-03-26,2895,449842,4627940
347,Point,2896,1,42089,2015-03-26,2896,447401,4633342
348,Point,2897,1,42089,2015-03-26,2897,453969,4622402
349,Point,2898,1,42089,2015-03-26,2898,448525,4629134
350,Point,2899,1,42089,2015-03-26,2899,445632,4631723
351,Point,2900,1,42090,2015-03-27,2900,452702,4624171
352,Point,2901,1,42090,2015-03-27,2901,448525,4629134
353,Point,2902,1,42090,2015-03-27,2902,452634,4624103
354,Point,2903,1,42090,2015-03-27,2903,452817,4622660
355,Point,2904,1,42090,2015-03-27,2904,454111,4622353
356,Point,2905,1,42090,2015-03-27,2905,451411,4624161
357,Point,2906,1,42090,2015-03-27,2906,453812,4622431
358,Point,2907,1,42090,2015-03-27,2907,450472,4623615
359,Point,2908,1,42090,2015-03-27,2908,454109,4622355
360,Point,2909,1,42090,2015-03-27,2909,451602,4622264
361,Point,2910,1,42091,2015-03-28,2910,447316,4633542
362,Point,2911,1,42091,2015-03-28,2911,452498,4624104
363,Point,2912,1,42091,2015-03-28,2912,447333,4627651
364,Point,2913,1,42091,2015-03-28,2913,453716,4623085
365,Point,2914,1,42092,2015-03-29,2914,450019,4628531
366,Point,2915,1,42092,2015-03-29,2915,452921,4622295
367,Point,2916,1,42092,2015-03-29,2916,447453,4633728
368,Point,2917,1,42092,2015-03-29,2917,449853,4624688
369,Point,2918,1,42093,2015-03-30,2918,450180,4625680
370,Point,2919,1,42093,2015-03-30,2919,447836,4622502
371,Point,2920,1,42093,2015-03-30,2920,453324,4623622
372,Point,2921,1,42094,2015-03-31,2921,446549,4631079
373,Point,2922,1,42094,2015-03-31,2922,452089,4624267
374,Point,2923,1,42094,2015-03-31,2923,449915,4627715
375,Point,2924,1,42094,2015-03-31,2924,453324,4623622
376,Point,2925,1,42094,2015-03-31,2925,452920,4622458
377,Point,2926,1,42094,2015-03-31,2926,452709,4623513
378,Point,2927,1,42094,2015-03-31,2927,451358,4627234
379,Point,2928,1,42094,2015-03-31,2928,448393,4628901
380,Point,2929,1,42094,2015-03-31,2929,445839,4631284
381,Point,2930,1,42094,2015-03-31,2930,449916,4627557
382,Point,2931,1,42095,2015-04-01,2931,448378,4624533
383,Point,2932,1,42095,2015-04-01,2932,447054,4622635
384,Point,2933,1,42095,2015-04-01,2933,453171,4622560
385,Point,2934,1,42095,2015-04-01,2934,452709,4623493
386,Point,2935,1,42095,2015-04-01,2935,446925,4622807
387,Point,2936,1,42095,2015-04-01,2936,449145,4624672
388,Point,2937,1,42095,2015-04-01,2937,452513,4622655
389,Point,2938,1,42096,2015-04-02,2938,446727,4630978
390,Point,2939,1,42096,2015-04-02,2939,451638,4622949
391,Point,2940,1,42096,2015-04-02,2940,447315,4633663
392,Point,2941,1,42096,2015-04-02,2941,446916,4631588
393,Point,2942,1,42097,2015-04-03,2942,446332,4632446
394,Point,2943,1,42098,2015-04-04,2943,451849,4623045
395,Point,2944,1,42098,2015-04-04,2944,449838,4628319
396,Point,2945,1,42098,2015-04-04,2945,449704,4624756
397,Point,2946,1,42099,2015-04-05,2946,450953,4623552
398,Point,2947,1,42099,2015-04-05,2947,452188,4624495
399,Point,2948,1,42099,2015-04-05,2948,449362,4623448
400,Point,2949,1,42099,2015-04-05,2949,449037,4625645
401,Point,2950,1,42099,2015-04-05,2950,452854,4622355
402,Point,2951,1,42100,2015-04-06,2951,450257,4629004
403,Point,2952,1,42100,2015-04-06,2952,451842,4623659
404,Point,2953,1,42101,2015-04-07,2953,448835,4625641
405,Point,2954,1,42102,2015-04-08,2954,448391,4629099
406,Point,2955,1,42102,2015-04-08,2955,449954,4624693
407,Point,2956,1,42102,2015-04-08,2956,447454,4633727
408,Point,2957,1,42102,2015-04-08,2957,449238,4625463
409,Point,2958,1,42102,2015-04-08,2958,448501,4631603
410,Point,2959,1,42103,2015-04-09,2959,448561,4626073
411,Point,2960,1,42103,2015-04-09,2960,448494,4624333
412,Point,2961,1,42103,2015-04-09,2961,452766,4624303
413,Point,2962,1,42103,2015-04-09,2962,452632,4624258
414,Point,2963,1,42103,2015-04-09,2963,446759,4630275
415,Point,2964,1,42103,2015-04-09,2964,448835,4625641
416,Point,2965,1,42103,2015-04-09,2965,448209,4627342
