"x","y","state","date","id"
"68",449111.812836077,4623303.73566329,2,2015-03-09,1
"123",449098.60781705,4623401.36670045,2,2015-05-03,1
"171",449100.04299453,4623428.63107254,2,2015-06-20,1
"209",449143.335002914,4623336.54110893,2,2015-07-28,1
"296",449217.415788167,4623307.56215669,2,2015-10-23,1
"352",449203.260514518,4623228.26874255,2,2015-12-18,1
"22",453512,4622479,2,2015-01-22,2
"114",453512,4622479,2,2015-04-24,2
"122",453512,4622479,2,2015-05-02,2
"131",453512,4622479,2,2015-05-11,2
"187",453512,4622479,2,2015-07-06,2
"222",453512,4622479,2,2015-08-10,2
"271",453512,4622479,2,2015-09-28,2
"311",453512,4622479,2,2015-11-07,2
"317",453512,4622479,2,2015-11-13,2
"342",453512,4622479,2,2015-12-08,2
"348",453512,4622479,2,2015-12-14,2
"65",449374.394612485,4628143.37027544,2,2015-03-06,3
"96",449352.470210606,4628108.55794305,2,2015-04-06,3
"107",449352.359204874,4628131.64778926,2,2015-04-17,3
"135",449355.014578248,4628147.87379726,2,2015-05-15,3
"161",449358.923974651,4628094.97617637,2,2015-06-10,3
"191",449301.763893949,4628002.08324645,2,2015-07-10,3
"216",449302.706792531,4628032.12869052,2,2015-08-04,3
"323",449306.950953188,4628158.79079898,2,2015-11-19,3
"7",449968.406467523,4627668.75163726,2,2015-01-07,4
"42",449959.037072737,4627774.90507496,2,2015-02-11,4
"87",449915.48650471,4627731.1526573,2,2015-03-28,4
"94",449872.468321989,4627791.07565096,2,2015-04-04,4
"142",449797.213630649,4627871.59399838,2,2015-05-22,4
"8",449785.9987082,4625066.17364511,2,2015-01-08,5
"50",449814.892610228,4625062.33507304,2,2015-02-19,5
"99",449774.328391,4625074.15692283,2,2015-04-09,5
"119",449803.790088696,4625071.04429066,2,2015-04-29,5
"160",449782.749666752,4625110.12708092,2,2015-06-09,5
"189",449836.573206841,4625202.3542945,2,2015-07-08,5
"197",449846.038002155,4625272.93399781,2,2015-07-16,5
"2161",449805.157450302,4625262.97845984,2,2015-08-04,5
"295",449638.202627237,4625233.60177195,2,2015-10-22,5
"302",449657.327005493,4625255.49034831,2,2015-10-29,5
"124",447182,4622957,2,2015-05-04,6
"155",447182,4622957,2,2015-06-04,6
"166",447182,4622957,2,2015-06-15,6
"170",447182,4622957,2,2015-06-19,6
"228",447182,4622957,2,2015-08-16,6
"263",447182,4622957,2,2015-09-20,6
"350",447182,4622957,2,2015-12-16,6
"32",448625.701808164,4629994.99083841,2,2015-02-01,7
"61",448716.305608144,4629999.1923195,2,2015-03-02,7
"961",448617.192369979,4629985.50482448,2,2015-04-06,7
"258",448667.614110589,4630066.08792442,2,2015-09-15,7
"307",448794.964612231,4630178.7041089,2,2015-11-03,7
"15",446076.21205023,4630801.05982862,2,2015-01-15,8
"79",446232.57388124,4630859.50649469,2,2015-03-20,8
"86",446235.324637506,4630917.00131797,2,2015-03-27,8
"231",446238.705321892,4630919.22249872,2,2015-08-19,8
"244",446276.208595075,4630938.92203333,2,2015-09-01,8
"304",446277.651268035,4630952.61990228,2,2015-10-31,8
"338",446300.449456296,4630959.55383402,2,2015-12-04,8
"30",449273.382161228,4623005.51283469,2,2015-01-30,9
"91",449158.033652332,4622965.08409247,2,2015-04-01,9
"113",449123.79211198,4623020.69163213,2,2015-04-23,9
"1311",449125.629523323,4623061.68615813,2,2015-05-11,9
"153",449118.531714873,4623023.49472857,2,2015-06-02,9
"217",449158.566810079,4623016.36471212,2,2015-08-05,9
"289",449114.718967501,4622954.54981725,2,2015-10-16,9
"322",449274.044535994,4622964.37588148,2,2015-11-18,9
"44",451423.460986592,4623081.70079973,2,2015-02-13,10
"57",451442.566030551,4623124.5694933,2,2015-02-26,10
"59",451442.566030551,4623124.5694933,2,2015-02-28,10
"212",451296.843363498,4623201.8450815,2,2015-07-31,10
