"x","y","state","date","id"
"9",452894.66202938,4624272.21480459,2,2015-01-09,1
"114",452814.330685159,4624569.43072599,2,2015-04-24,1
"307",452694.379982564,4624402.63145064,2,2015-11-03,1
"325",452690.695152825,4624425.68122181,2,2015-11-21,1
"48",448836.106380007,4628988.71390899,2,2015-02-17,2
"93",448856.486012079,4628970.01560726,2,2015-04-03,2
"118",448915.210121219,4628889.21607032,2,2015-04-28,2
"146",448864.658333517,4628864.00146884,2,2015-05-26,2
"196",448955.558802127,4628759.81793286,2,2015-07-15,2
"226",448852.370910135,4628719.270398,2,2015-08-14,2
"40",449771.167764996,4627374.066541,2,2015-02-09,3
"42",449770.659950155,4627384.07977635,2,2015-02-11,3
"55",449740.412511253,4627380.70443347,2,2015-02-24,3
"62",449830.694326452,4627385.60405243,2,2015-03-03,3
"71",449838.859717698,4627425.70483751,2,2015-03-12,3
"265",449833.499001862,4627658.09475364,2,2015-09-22,3
"22",451147.606787123,4625460.96840856,2,2015-01-22,4
"711",451090.906829233,4625469.29115564,2,2015-03-12,4
"109",451166.774844758,4625409.30088324,2,2015-04-19,4
"205",451241.713469138,4625466.46079273,2,2015-07-24,4
"279",451125.040349773,4625471.65815756,2,2015-10-06,4
"58",449317.504385651,4628412.57029998,2,2015-02-27,5
"82",449312.227740304,4628559.37399499,2,2015-03-23,5
"102",449373.037444072,4628530.38369712,2,2015-04-12,5
"169",449355.579926862,4628441.86951532,2,2015-06-18,5
"188",449423.06401505,4628510.78747922,2,2015-07-07,5
"30",448684.425988973,4626530.03388527,2,2015-01-30,6
"32",448693.233873312,4626512.07779512,2,2015-02-01,6
"33",448693.233873312,4626512.07779512,2,2015-02-02,6
"92",448624.533188118,4626557.35226514,2,2015-04-02,6
"128",448614.789457874,4626527.71148881,2,2015-05-08,6
"314",448555.743188015,4626470.08689227,2,2015-11-10,6
"318",448558.782129158,4626490.06122305,2,2015-11-14,6
"16",449323.047763265,4628717.96460509,2,2015-01-16,7
"100",449300.656842961,4628760.37653614,2,2015-04-10,7
"230",449225.251423537,4628790.12369333,2,2015-08-18,7
"266",449156.346924037,4628850.54023745,2,2015-09-23,7
"305",449170.188620231,4628946.74340233,2,2015-11-01,7
"344",449207.831045023,4628969.65606951,2,2015-12-10,7
"18",448221.435141446,4627261.69873931,2,2015-01-18,8
"31",448215.33704924,4627283.00398811,2,2015-01-31,8
"621",448220.715982275,4627336.02421939,2,2015-03-03,8
"77",448336.641750413,4627341.14550376,2,2015-03-18,8
"158",448277.088262208,4627410.01703317,2,2015-06-07,8
"242",448392.63874575,4627493.2740024,2,2015-08-30,8
"313",448332.544444847,4627630.35957955,2,2015-11-09,8
"20",447862.409135743,4629816.7399169,2,2015-01-20,9
"221",447871.2170158,4629834.69600915,2,2015-01-22,9
"36",447887.734648146,4629849.18635201,2,2015-02-05,9
"51",447794.416017088,4629893.60616483,2,2015-02-20,9
"1961",447939.400698962,4629882.33008952,2,2015-07-15,9
"274",447875.986550664,4629931.26048212,2,2015-10-01,9
"401",449501.785030204,4625013.54699749,2,2015-02-09,10
"69",449530.443766255,4624947.89349157,2,2015-03-10,10
"108",449538.499816071,4624837.79685193,2,2015-04-18,10
"1141",449531.402648869,4624845.36773717,2,2015-04-24,10
"115",449531.402648869,4624845.36773717,2,2015-04-25,10
"116",449531.402648869,4624845.36773717,2,2015-04-26,10
"148",449574.76240736,4624943.97966108,2,2015-05-28,10
"209",449536.281601008,4624862.7131455,2,2015-07-28,10
"301",449590.223214156,4624693.38732409,2,2015-10-28,10
"357",449605.344204729,4624640.443303,2,2015-12-23,10
"21",450249.219698365,4624559.31838303,2,2015-01-21,11
"511",450161.738852057,4624645.69937794,2,2015-02-20,11
"66",450170.028870813,4624675.69564095,2,2015-03-07,11
"67",450156.249534167,4624661.19978355,2,2015-03-08,11
"127",450190.004472981,4624482.1493051,2,2015-05-07,11
"204",450196.877632394,4624630.17951269,2,2015-07-23,11
"218",450199.573626697,4624671.53842319,2,2015-08-06,11
"272",450232.976182439,4624563.7871944,2,2015-09-29,11
"319",450170.194879373,4624579.04814687,2,2015-11-15,11
"5",448036.797816586,4630532.16516368,2,2015-01-05,12
"15",448097.046203574,4630480.48427058,2,2015-01-15,12
"302",448072.486786863,4630379.85845529,2,2015-01-30,12
"41",448101.124073076,4630414.97481193,2,2015-02-10,12
"1001",448091.773911887,4630421.08207292,2,2015-04-10,12
"111",448046.160012157,4630505.07012704,2,2015-04-21,12
"91",449242.008506739,4629844.55098115,2,2015-01-09,13
"268",449004.574615346,4629814.54494892,2,2015-09-25,13
"1",448546,4630649,2,2015-01-01,14
"161",448520.185183379,4630657.86482798,2,2015-01-16,14
"17",448537.672117338,4630648.15879168,2,2015-01-17,14
