"x","y","state","date","id"
"9",446175.735753813,4630866.40958765,2,2015-01-09,1
"70",446099.844099534,4630923.38301568,2,2015-03-11,1
"71",446099.844099534,4630923.38301568,2,2015-03-12,1
"72",446099.844099534,4630923.38301568,2,2015-03-13,1
"73",446099.844099534,4630923.38301568,2,2015-03-14,1
"74",446099.844099534,4630923.38301568,2,2015-03-15,1
"75",446099.844099534,4630923.38301568,2,2015-03-16,1
"146",446099.662156633,4630917.8697201,2,2015-05-26,1
"161",446139.047677238,4630907.77277132,2,2015-06-10,1
"162",446139.047677238,4630907.77277132,2,2015-06-11,1
"163",446139.047677238,4630907.77277132,2,2015-06-12,1
"179",446072.501981946,4630956.73882002,2,2015-06-28,1
"204",446066.078598072,4630873.13377978,2,2015-07-23,1
"6",449969.618622838,4629520.79262654,2,2015-01-06,2
"8",450007.784191094,4629532.76715784,2,2015-01-08,2
"91",450026.866975221,4629538.75442349,2,2015-01-09,2
"10",450026.866975221,4629538.75442349,2,2015-01-10,2
"30",449947.039677459,4629487.40197566,2,2015-01-30,2
"31",449947.039677459,4629487.40197566,2,2015-01-31,2
"32",449936.46039207,4629504.37485758,2,2015-02-01,2
"119",449889.50398647,4629446.48964198,2,2015-04-29,2
"120",449878.924705128,4629429.51675754,2,2015-04-30,2
"121",449871.978602023,4629410.76171417,2,2015-05-01,2
"124",449831.978602023,4629410.76171767,2,2015-05-04,2
"125",449811.978602023,4629410.76171942,2,2015-05-05,2
"126",449791.978602023,4629410.76172117,2,2015-05-06,2
"134",449783.395820053,4629418.83316095,2,2015-05-14,2
"135",449783.395820053,4629418.83316095,2,2015-05-15,2
"202",449798.65479802,4629234.57534662,2,2015-07-21,2
"203",449803.66785138,4629215.21380494,2,2015-07-22,2
"258",449783.743078663,4629091.1873189,2,2015-09-15,2
"259",449783.743078663,4629091.1873189,2,2015-09-16,2
"326",449832.54819581,4629089.63663447,2,2015-11-22,2
"327",449837.561249171,4629070.27509279,2,2015-11-23,2
"328",449842.574302531,4629050.91355112,2,2015-11-24,2
"329",449842.574302531,4629050.91355112,2,2015-11-25,2
"330",449843.587287674,4629030.93922106,2,2015-11-26,2
"338",449801.248663257,4629056.81966532,2,2015-12-04,2
"354",449771.400261932,4628996.26389138,2,2015-12-20,2
"2",448333.980171795,4622314.98937259,2,2015-01-02,3
"101",448117.498187769,4622317.54013998,2,2015-04-11,3
"182",447979.629443136,4622448.46834931,2,2015-07-01,3
"13",447174.637361937,4633190.96552682,2,2015-01-13,4
"56",447286.572010033,4633201.17040718,2,2015-02-25,4
"57",447286.572010033,4633201.17040718,2,2015-02-26,4
"58",447286.572010033,4633201.17040718,2,2015-02-27,4
"59",447286.572010033,4633201.17040718,2,2015-02-28,4
"152",447220.222242755,4633091.02252642,2,2015-06-01,4
"153",447220.222242755,4633091.02252642,2,2015-06-02,4
"157",450868.398679625,4623414.60770378,2,2015-06-06,5
